username,rating,title,content,date_of_experience
Yuriy Bezgin,1,Why would you cancel trains at peak time each Sunday?,Price is high. Bookings doesn't work. Trains are full and delayed. At least there are sockets.,No Date
RU,1,GwR should not be allowed to run any train route,"Book a train, reserve a sit just to then spend 2h standing in a train overcrowded without any solution from staff or the company. The train was full of people lying through the corridors, doors, etc. That’s not only a terrible customer experience but a huge safety risk,  GwR should not be allowed to run any train route!",No Date
EY,1,Officious and bumptuous 'Julie' of…,"Officious and bumptuous 'Julie' of Great Western on the Bath Spa to Bristol Temple Meads route tells me I'm on the wrong train, charging me extra for my honesty. I have a Senior Railcard and have been using trains in between driving my car for several decades. I sometimes board an earlier or later train depending on timings. I suppose this extra payment will pour into the coffers for the train drivers over-inflated payrise. I am taking the car next time. 'Julie' can pick on another pensioner as she struts her over confident stuff wiggling down the aisles, chatelaine of cheapjack rip offs. Small wonder people are fed up with the trains. A ticket is a ticket. If it isn't why are we being ripped off?",No Date
EA,1,Utterly dishonest,Utterly dishonest. I booked a service that didn’t stop at the pickup station ( because it was running a little late) but when I tried to reclaim for delay I was denied because the train arrived only minute late at my intended destination.  Such utter bulls*it form such a disgusting bunch of fraudsters.,No Date
AA,1,GWR delay repay and refund portal site…,"GWR delay repay and refund portal site has to be the most cumbersome, frustrating and unuser friendly online form ever produced. Deliberately set out in 8 steps to annoy the user. just spent best part of 40 mins trying to claim a refund for one journey. It asks you all these fiddly details which they can retrieve from your booking number, but they want you to manually enter it in, it then by default says it wants an alternative payment method to pay the refund on, well I don't want to provide an additional account or card details for a refund, I just want the refund made to my original payment card. If you happen to enter card details for a Mastercard it then tells you that they are having problems with Mastercard payments and to provide a bank account number or a Visa card number. On top of that (which really was the final straw) when you upload your E-ticket it RESETS EVERYTHING and takes you to the first page. Absolutely DIABOLICAL!! They do this so you give up processing a refund for a cancelled service. I would rather spend more time writing up an honest review here than using their refund portal",No Date
Chris Turner,1,Most uncomfortable seats ever!,It's like they have gone out of their way to make the seats as uncomfortable as possible. GWR - have you heard of this wonder product called foam?,No Date
JW,5,Having to travel to Paddington from…,"Having to travel to Paddington from Cardiff central for work, with a badly injured knee and on crutches was something I was not looking forward to.However I was kindly helped onto the train and then moved to the first class section, which was so appreciated. I was looked after by a lovely man called Stewart and just wanted to say a huge thank you for the wonderful service.  I Travelled on Wednesday march 12 at 17:18",No Date
EM,1,Terrible company that doesn't give a damn about customers,"Why aren't you providing the service that you promised?! I'm sick to death of the incompetence of this so called company. Trains delayed, always overcrowded. I can never get a seat (I'm the second stop for gods sake!) crammed in the vestibules and down the aisles with loads of other poor people who have paid for this service and can't even get a bloody seat. What is wrong with this company? Ticket prices go up year on year and you can't even provide the adequate seating.  When you complain about this they come back with some crap excuse about your ticket not including a seat. Excuse me? How is that acceptable? How do people get to use the toilet when the train is full? FGW won't reply to this, they don't seem to reply to negative reviews or care to fix any problems,  so I don't even know why I bother writing reviews for them. Avoid this train company at all costs. Seriously use the bus if it's available.",No Date
LL,1,Carriages reduced from 9 to 5,"Carriages reduced from 9 to 5. Overcrowded, passengers sitting on floor/standing in aisle/sat in Lois. Another terrible experience. Ticket £80. Nationalise GWR.",No Date
Faye Cole,1,Awful customer service,"Awful customer service and I use the train a lot, they constantly keep allowing unsocial behaviour on journeys to the point I no longer feel safe travelling by train, I ask for help and they look at you like you've asked the world from them, all these bonuses and pay rises for what hardly any staff? Rip off ticket prices even with railway cards and online customer service that fobs you off can't stand this company vile",No Date
Jake Metcalf,1,"Strip them of contracts, bonuses and pay","GWR trains are late - this is a common occurrence which seems to have increased over time - or cancelled. They don’t consistently use a sufficient number of carriages so that trains are so packed that passengers - who are already late - can’t get on. At the same time, ticket prices have increased.",No Date
JW,1,Tried  booking  tickets online,"Tried  booking  tickets online, they took the money but have not sent tickets, I have downloaded app but it will not let me register. Very poor service and a stress I do not need to sort before next weekend !!!!!",No Date
Donciu,5,I rarely write reviews,"I rarely write reviews, but the service I received from Adrian at Great Western Railway today (journey from Swindon to Bristol) was so extraordinary, it compelled me to share. From the moment I approached him, he radiated genuine warmth and a willingness to help. I was facing some very serious personal challenges and he went above and beyond to resolve it.Not only did he efficiently solve my problem, but he did so with a level of kindness and empathy that truly brightened my day. He reminded me of the power of human connection.It wasn't just about fixing a problem; it was about the way he made me feel – valued, understood, and genuinely cared for. If I could give more than 5 stars, I absolutely would. This individual deserves not just recognition, but a standing ovation. Thank you, Adrian, for turning a potentially stressful situation into a truly positive experience. You are a credit to Great Western Railway, and I hope your exceptional service is celebrated because it wasn’t only exceptional customer service but also exceptional customer care and this combination is rare. May God bless you plenty!!",No Date
ME,1,How spectacularly rubbish can you be,"How spectacularly rubbish can you be when 12,000 people are trying to get into Bath on Marathon day and you cancel trains….",No Date
TH,1,They overcharged me over £6,"They overcharged me over £6 when I asked them the cheapest way to do my journey and refuse to refund me after I queried it. Terrible customer service, hoping will be better once renationalised. Can’t believe they’re allowed the word “Great” in their name, Isambard Kingdom Brunel they are not!",No Date
CT,5,GWR redeems itself,I left a stinker of a review for GWR before but my latest experience was very good. Our return train was cancelled which was Crosscountries fault. The man at passenger assist in Bristol Temple Meads was excellent - he made sure we had seats as we are disabled and was very kind. Thank you!,No Date
EW,1,Refund system is a waste of time,"Refund system is a waste of time. I accidentally purchased a ticket for via a certain route which the train wasn’t actually going to on that journey. I put in for a refund as it was an unused ticket as i purchased the correct one not long after i noticed my error. I have put the claim through twice and no luck, the second time i was told that an advanced ticket can’t be refunded but it was purchased on the day of travel?",No Date
LO,1,Cancelled all trains to Paddington so…,"Cancelled all trains to Paddington so everyone got off onto another one going to a different London station, this meant we were delayed between 30 and 60 minutes. They later decided to reinstate the cancelled train which ended up arriving between 20 and 30 minutes late to Paddington. They are now ignoring the fact they cancelled the train and only compensating for the 20 to 30 minutes telling me I should have stayed on the train, the train they cancelled.",No Date
Ashley Roost,1,Another weekend nearly rounded by GWR,"Absolutely shambolic organisation yet again from GWR. Trains delayed and cancelled with excuses varying from trespassers to no train crew. If other businesses ran their company as bad as this lot they wouldn’t have a business left to run. Sort it out, change your attitude and provide the service that you claim to provide. Your famous five advertising campaign is more like the famous 5 excuses. Looking forward to next weekend where I will no doubt have more hassle from this incompetent train operating company. Not usually one to write reviews, but having near enough every journey impacted is now getting a bit much.",No Date
TR,1,A complete waste of time.,"Not surprised to see the low score. Travelled from London to Bath on Weds and got so badly delayed decided to abandon and travel back from Swindon to London. Then got delayed another 45 mins because of missed connections, signal problems etc. Thought I would claim but it is very time consuming and fruitless. Travelled again from London to Bath on Thursday,  with another 25 min delay. Hopeless. The travel disruption is really annoying but worse is the bs about repaying for delayed trains.",No Date
MJ,1,Bristol Parkway,"The main lift at Bristol Parkway has been out of order for most of time since I started my University course in September 2024.  I am a disabled passenger and although I do not use I difficulties with walking, especially up and that huge flight of stairs.",No Date
SP,1,You guys suck,You guys suck. Trains are always packed. Unaffordable prices. Delays and cancellations are the norm.,No Date
